ID_MARK,Марка,Марка кириллица,Популярная марка,Страна,Год марки от,Год марки до,MODEL_ID,Модель,Модель кириллица,Класс,Год модели от,Год модели до
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_V8,V8 Vantage,в8 вантаж,S,1969,2025
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_V8_ZAGATO,V8 Zagato,в8 загато,S,1986,1989
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_VALHALLA,Valhalla,Вальхалла,S,2025,2025
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_VALIANT,Valiant,Валиант,S,2024,2025
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_VALKYRIE,Valkyrie,Валькирия,S,2021,2024
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_VALOUR,Valour,Валур,S,2023,2025
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_VIRAGE,Virage,Вираж,S,1988,2012
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_VULCAN,Vulcan,Вулкан,S,2015,2016
ATOM,Атом,Атом,0,Россия,2025,2025,ATOM_01,01,01,B,2025,2025
AUBURN,Auburn,Оберн,0,США,1935,1937,AUBURN_SPEEDSTER,Speedster,Спидстер,S,1935,1937
AUDI,Audi,Ауди,1,Германия,1927,2025,AUDI_100,100,100,F,1968,1994
AUDI,Audi,Ауди,1,Германия,1927,2025,AUDI_200,200,200,F,1979,1991
AUDI,Audi,Ауди,1,Германия,1927,2025,AUDI_50,50,50,F,1974,1978
AUDI,Audi,Ауди,1,Германия,1927,2025,AUDI_80,80,80,F,1972,1996
AUDI,Audi,Ауди,1,Германия,1927,2025,AUDI_90,90,90,F,1984,1995
AUDI,Audi,Ауди,1,Германия,1927,2025,AUDI_920,920,920,F,1938,1940
AUDI,Audi,Ауди,1,Германия,1927,2025,AUDI_A1,A1,А1,F,2010,2025
AUDI,Audi,Ауди,1,Германия,1927,2025,AUDI_A2,A2,А2,F,2000,2007
AUDI,Audi,Ауди,1,Германия,1927,2025,AUDI_A3,A3,А3,F,1996,2025
